id_cliente,evasao,genero,idoso,tem_parceiro,tem_dependentes,meses_contrato,servico_telefone,multiplas_linhas,servico_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,streaming_tv,streaming_filmes,tipo_contrato,fatura_digital,metodo_pagamento,valor_mensal,valor_total,valor_diario
0056epfbg,False,male,False,True,True,20,False,False,dsl,True,False,True,True,False,False,two year,True,credit card automatic,39.4,825.4,1.31
0057qbuqh,False,female,False,False,True,43,True,True,no,False,False,False,False,False,False,two year,True,electronic check,25.1,1070.15,0.84
0058evzwm,False,female,False,True,False,55,True,True,fiber optic,True,False,False,False,True,False,month,True,bank transfer automatic,89.8,4959.6,2.99
0060fualy,False,female,False,True,False,59,True,True,fiber optic,True,True,False,False,True,False,month,True,electronic check,94.75,5597.65,3.16
0064sudog,False,female,False,True,True,12,True,False,no,False,False,False,False,False,False,two year,False,bank transfer automatic,20.3,224.5,0.68
0064yijgf,False,male,False,True,True,27,True,True,fiber optic,False,False,False,False,False,False,month,True,bank transfer automatic,75.75,1929.0,2.52
0067dkwbl,True,male,True,False,False,2,True,False,dsl,True,False,False,False,False,False,month,True,electronic check,49.25,91.1,1.64
0068figtf,False,female,False,False,False,27,True,False,dsl,False,True,True,True,True,True,one year,False,mailed check,78.2,2078.95,2.61
0071ndafp,False,male,False,True,True,25,True,True,no,False,False,False,False,False,False,two year,False,credit card automatic,25.5,630.6,0.85
0074hdkdg,False,male,False,True,True,25,True,False,dsl,True,True,True,False,False,False,one year,True,bank transfer automatic,61.6,1611.0,2.05
0076lveps,False,male,False,False,True,29,False,False,dsl,True,True,True,True,False,False,month,True,mailed check,45.0,1242.45,1.5
0078xzmht,False,male,False,True,False,72,True,True,dsl,False,True,True,True,True,True,two year,True,bank transfer automatic,85.15,6316.2,2.84
0080emyvy,False,female,False,False,False,14,True,False,dsl,False,True,False,False,False,False,one year,False,credit card automatic,51.45,727.85,1.72
0080orozo,False,female,False,False,False,35,True,False,fiber optic,False,False,True,True,True,True,one year,True,electronic check,99.25,3532.0,3.31
0082ldzue,False,male,False,False,False,1,True,False,dsl,False,False,False,False,False,False,month,True,mailed check,44.3,44.3,1.48
0082oqiqy,False,male,False,False,False,29,True,False,fiber optic,False,False,False,True,True,True,month,True,electronic check,94.2,2607.6,3.14
0083pivik,False,male,False,False,False,64,True,True,dsl,True,True,True,True,True,False,one year,False,electronic check,81.25,5567.55,2.71
0089iiqko,False,female,False,True,True,39,True,True,fiber optic,False,False,False,True,True,True,month,True,credit card automatic,99.95,3767.4,3.33
0093exyql,False,female,True,False,False,40,True,False,fiber optic,False,False,False,False,True,True,month,True,electronic check,91.55,3673.6,3.05
0093xwzfy,True,male,False,False,False,40,True,True,fiber optic,False,True,True,False,True,True,month,True,credit card automatic,104.5,4036.85,3.48
0094oifmo,True,female,True,False,False,11,True,False,fiber optic,False,True,False,False,True,True,month,True,electronic check,95.0,1120.3,3.17
0096bxers,False,female,False,True,False,6,True,True,dsl,False,False,False,False,False,False,month,False,electronic check,50.35,314.55,1.68
0096fcpuf,False,male,False,False,False,30,True,True,dsl,True,False,False,False,False,True,month,True,mailed check,64.5,1888.45,2.15
0098bowso,False,male,False,False,False,27,True,False,no,False,False,False,False,False,False,month,True,electronic check,19.4,529.8,0.65
0100duvfc,False,male,True,True,False,70,True,True,fiber optic,False,True,True,False,True,True,one year,True,electronic check,104.8,7308.95,3.49
0103csitq,False,female,False,True,False,57,True,True,fiber optic,False,True,True,True,True,True,one year,True,bank transfer automatic,109.4,6252.7,3.65
0104ppxdv,False,male,False,True,False,58,True,False,dsl,False,False,True,False,False,False,one year,False,credit card automatic,50.3,2878.55,1.68
0106ghrqr,False,male,False,False,False,16,True,True,dsl,False,True,True,False,False,True,month,True,bank transfer automatic,71.4,1212.1,2.38
0106ugrdo,False,female,False,True,False,69,True,True,fiber optic,True,True,True,True,True,True,two year,True,electronic check,116.0,8182.85,3.87
0107weslm,True,male,False,False,False,1,True,False,no,False,False,False,False,False,False,month,True,electronic check,19.85,19.85,0.66
0107yhina,True,male,False,False,True,1,True,True,fiber optic,False,False,True,False,True,True,month,True,electronic check,99.75,99.75,3.33
0111klbqg,False,male,True,True,True,32,True,False,fiber optic,False,True,False,False,True,True,month,True,mailed check,93.95,2861.45,3.13
0112qawrz,False,male,False,True,True,16,True,True,fiber optic,False,False,True,False,True,False,month,True,bank transfer automatic,90.8,1442.2,3.03
0112qwpnc,True,male,False,True,False,49,True,True,dsl,True,False,True,True,True,True,one year,False,electronic check,84.35,4059.35,2.81
0114igabw,False,female,False,True,False,71,False,False,dsl,False,True,True,True,True,True,two year,False,bank transfer automatic,58.25,4145.9,1.94
0114pegzz,False,female,False,False,False,33,True,True,fiber optic,False,True,True,False,True,True,month,False,electronic check,107.55,3645.5,3.58
0114rsrrw,False,female,False,True,False,10,True,False,no,False,False,False,False,False,False,month,True,bank transfer automatic,19.95,187.75,0.66
0115tfert,True,male,False,True,False,21,True,True,fiber optic,False,True,True,True,True,True,month,True,electronic check,111.2,2317.1,3.71
0117lfrmw,True,male,False,True,True,37,False,False,dsl,True,True,True,False,False,False,month,False,bank transfer automatic,40.2,1448.8,1.34
0118jpnoy,False,female,True,False,False,26,True,False,fiber optic,True,False,False,False,True,False,month,True,credit card automatic,85.8,2193.65,2.86
0120yzlqa,False,male,False,False,False,71,True,False,no,False,False,False,False,False,False,two year,True,credit card automatic,19.9,1355.1,0.66
0121snyrk,False,male,False,False,False,50,False,False,dsl,True,False,False,True,False,False,one year,True,mailed check,35.4,1748.9,1.18
0122oahpz,True,female,False,False,False,7,True,True,fiber optic,False,False,False,False,False,False,month,True,electronic check,73.85,511.25,2.46
0123crbrt,False,female,False,True,True,61,True,True,dsl,True,True,True,True,True,True,two year,False,mailed check,88.1,5526.75,2.94
0125lzqxk,True,male,False,False,False,15,True,False,fiber optic,False,False,True,True,True,True,month,True,electronic check,101.35,1553.95,3.38
0128mkwsg,False,female,False,False,True,26,False,False,dsl,True,False,False,True,False,True,month,False,mailed check,45.8,1147.0,1.53
0129kptwj,False,male,False,True,False,72,True,False,fiber optic,False,False,True,False,True,True,month,True,electronic check,94.65,6747.35,3.15
0129qmpdr,False,male,False,True,True,44,True,False,no,False,False,False,False,False,False,one year,True,bank transfer automatic,20.5,865.05,0.68
0130sxoun,False,male,False,False,False,66,True,True,fiber optic,False,True,False,False,False,True,month,False,credit card automatic,89.4,5976.9,2.98
0133bmfzo,True,female,False,False,False,2,True,False,fiber optic,True,True,False,True,False,False,month,True,electronic check,86.25,181.65,2.88
0134xwxce,False,female,True,False,False,44,True,False,dsl,False,False,True,True,True,True,one year,False,bank transfer automatic,74.85,3268.05,2.5
0135nmxap,True,female,False,False,False,12,True,True,fiber optic,False,True,False,False,True,False,month,True,bank transfer automatic,89.75,1052.4,2.99
0136ifmyd,False,male,True,True,False,69,True,True,fiber optic,False,True,True,True,True,True,two year,True,electronic check,109.95,7634.25,3.67
0137ocgab,True,female,False,False,False,1,True,True,fiber optic,False,True,False,False,False,False,month,True,mailed check,80.2,80.2,2.67
0137udeuo,True,female,False,False,False,3,True,False,no,False,False,False,False,False,False,month,False,mailed check,19.85,63.75,0.66
0139ivfjg,False,female,False,True,False,2,True,False,fiber optic,True,True,False,False,True,False,month,False,electronic check,90.35,190.5,3.01
0141yeays,False,female,True,False,False,27,True,True,fiber optic,False,True,True,False,False,False,month,True,bank transfer automatic,86.45,2401.05,2.88
0142gvysn,False,male,False,False,False,26,True,False,no,False,False,False,False,False,False,month,True,electronic check,20.3,511.25,0.68
0147eswwr,False,female,True,True,False,39,True,True,fiber optic,False,False,False,True,True,True,month,True,electronic check,101.25,3949.15,3.38
0148dcdos,True,male,False,False,False,25,True,True,fiber optic,False,False,False,False,True,True,month,True,bank transfer automatic,94.7,2362.1,3.16
0151ontov,True,female,False,False,False,1,True,False,fiber optic,False,False,False,False,False,False,month,False,mailed check,70.9,70.9,2.36
0154qyhju,False,male,False,False,False,29,True,False,dsl,True,True,False,True,False,False,one year,True,electronic check,58.75,1696.2,1.96
0156fvpta,True,male,False,True,False,22,True,False,dsl,True,False,False,True,False,False,month,True,electronic check,54.2,1152.7,1.81
0162rzgmz,False,female,True,False,False,5,True,False,dsl,True,True,False,True,False,False,month,False,credit card automatic,59.9,287.85,2.0
0164apgrb,False,female,False,False,False,72,True,True,fiber optic,True,True,True,True,True,True,two year,True,electronic check,114.9,8496.7,3.83
0164xairp,False,female,False,False,False,24,True,False,no,False,False,False,False,False,False,two year,True,bank transfer automatic,19.55,470.2,0.65
0168xzkbb,False,female,False,True,False,19,True,True,fiber optic,False,False,False,False,True,False,month,True,electronic check,86.85,1564.4,2.9
0174qrvvy,False,male,False,True,True,71,True,True,no,False,False,False,False,False,False,two year,False,credit card automatic,25.35,1847.55,0.85
0177pxbat,False,male,True,True,False,33,True,True,fiber optic,True,False,True,True,True,True,month,True,bank transfer automatic,109.9,3694.7,3.66
0178ciikr,False,female,False,False,False,3,True,False,no,False,False,False,False,False,False,month,False,mailed check,19.95,58.0,0.66
0178szbho,False,male,False,True,True,47,True,True,fiber optic,False,True,False,False,True,False,month,False,electronic check,87.2,4017.45,2.91
0181ritdd,False,male,False,True,True,62,True,False,fiber optic,True,True,True,True,True,True,two year,False,mailed check,108.15,6825.65,3.6
0186caerr,False,male,False,False,False,71,True,True,fiber optic,True,True,True,True,True,True,one year,True,bank transfer automatic,116.3,8309.55,3.88
0187qsxoe,False,male,True,True,False,7,True,False,fiber optic,False,False,False,False,True,True,month,True,electronic check,89.0,605.45,2.97
0187wznab,False,female,False,True,True,27,True,False,fiber optic,True,False,False,False,False,False,month,False,mailed check,74.4,1972.35,2.48
0188gwfle,False,male,False,False,False,2,True,False,no,False,False,False,False,False,False,month,False,mailed check,20.05,33.7,0.67
0191equuh,False,female,False,False,True,25,False,False,dsl,True,False,False,True,False,False,two year,False,bank transfer automatic,35.05,844.45,1.17
0191zhskz,False,male,True,False,False,30,True,False,dsl,True,True,False,False,True,True,month,True,electronic check,74.75,2111.3,2.49
0193eszxp,True,female,True,True,False,58,True,False,fiber optic,True,True,False,True,True,True,one year,True,credit card automatic,105.5,6205.5,3.52
0195iescp,True,male,False,True,False,10,True,True,fiber optic,False,False,False,False,False,True,month,True,electronic check,85.25,855.3,2.84
0196jtuqi,False,female,False,False,False,9,True,True,fiber optic,False,False,False,False,False,False,month,True,credit card automatic,75.2,633.85,2.51
0196vulgz,True,female,True,True,False,6,True,True,fiber optic,False,False,False,False,False,True,month,True,electronic check,84.35,474.9,2.81
0197pnknk,False,female,False,True,True,69,True,True,fiber optic,True,False,True,False,False,False,one year,False,bank transfer automatic,84.45,5848.6,2.81
0201mibol,False,female,True,False,False,66,True,True,fiber optic,True,False,False,False,True,True,two year,True,bank transfer automatic,102.4,6471.85,3.41
0201oamxr,True,female,False,False,False,70,True,True,fiber optic,True,True,True,True,True,True,one year,False,credit card automatic,115.55,8127.6,3.85
0203hhyij,True,male,False,False,False,25,True,True,no,False,False,False,False,False,False,one year,False,bank transfer automatic,25.3,676.35,0.84
0206oyvoc,False,female,False,True,True,46,True,False,no,False,False,False,False,False,False,two year,True,mailed check,19.25,864.2,0.64
0206tbwlc,False,female,False,True,False,54,True,True,fiber optic,True,True,True,True,True,True,one year,True,mailed check,114.65,6049.5,3.82
0207mdknv,True,female,False,False,False,15,True,False,fiber optic,True,False,True,True,True,True,month,False,electronic check,105.1,1582.75,3.5
0208bpqej,False,female,False,True,True,12,True,False,no,False,False,False,False,False,False,month,False,bank transfer automatic,19.4,198.1,0.65
0212isbbf,False,female,False,False,False,22,False,False,dsl,False,True,False,False,True,True,month,True,electronic check,50.35,1098.85,1.68
0214jhpfw,False,female,False,True,False,70,False,False,dsl,False,True,True,True,True,True,two year,False,bank transfer automatic,57.8,4039.3,1.93
0215bqkgs,False,male,False,False,False,30,True,False,fiber optic,True,True,True,False,False,False,month,True,credit card automatic,84.3,2438.6,2.81
0218qnvas,False,male,False,True,True,71,True,True,fiber optic,False,True,False,False,True,True,one year,False,bank transfer automatic,100.55,7113.75,3.35
0219qaerp,False,male,False,True,False,30,True,False,no,False,False,False,False,False,False,one year,False,credit card automatic,19.8,576.65,0.66
0219ytzue,True,male,False,True,True,4,True,True,fiber optic,False,True,True,False,False,False,month,True,bank transfer automatic,84.8,371.9,2.83
0220ebgce,True,male,False,False,False,2,True,False,fiber optic,False,False,True,False,False,True,month,True,electronic check,85.85,167.3,2.86
0221nauxk,False,male,False,False,True,10,True,False,no,False,False,False,False,False,False,one year,True,bank transfer automatic,19.95,219.5,0.66
0221wmxnq,False,male,True,False,False,4,True,False,fiber optic,True,False,False,False,False,False,month,False,electronic check,75.35,273.4,2.51
0222cnvpt,False,male,True,False,False,52,False,False,dsl,True,False,False,False,True,True,month,True,credit card automatic,48.8,2555.05,1.63
0224hjapt,True,male,False,False,False,5,True,True,dsl,False,False,False,False,False,False,month,False,electronic check,47.15,223.15,1.57
0224nijlp,False,male,False,True,True,8,True,False,no,False,False,False,False,False,False,two year,False,mailed check,20.15,165.5,0.67
0224rlwwd,False,female,True,False,False,2,True,False,dsl,False,False,False,False,False,False,month,True,electronic check,44.3,89.3,1.48
0225zorzp,False,male,False,False,False,3,True,False,fiber optic,False,True,False,False,False,True,month,False,electronic check,84.3,235.05,2.81
0228mauwc,False,male,False,False,False,19,True,True,dsl,False,False,True,True,False,False,month,False,electronic check,59.55,1144.6,1.99
0229lfjaf,False,male,False,False,False,72,True,True,dsl,True,True,True,True,False,False,two year,False,bank transfer automatic,69.65,4908.25,2.32
0230ubypq,False,male,True,True,False,63,False,False,dsl,True,False,False,True,False,False,one year,False,bank transfer automatic,36.1,2298.9,1.2
0230wequw,False,male,False,True,False,66,False,False,dsl,True,True,True,True,True,False,two year,True,bank transfer automatic,56.6,3789.2,1.89
0231lxvap,True,male,False,False,False,1,True,False,fiber optic,False,False,False,True,False,False,month,True,electronic check,75.9,75.9,2.53
0233fthav,False,female,False,False,False,60,True,True,fiber optic,False,False,True,False,False,False,one year,True,bank transfer automatic,79.2,4765.0,2.64
0234tevtt,False,female,False,True,True,48,False,False,dsl,True,False,True,False,False,True,one year,False,credit card automatic,45.0,2196.3,1.5
0235kgslc,True,female,False,False,False,1,True,False,fiber optic,False,False,True,False,True,False,month,True,credit card automatic,85.55,85.55,2.85
0236hfwsv,True,male,False,False,False,15,True,True,fiber optic,False,False,False,False,True,True,month,True,electronic check,93.35,1444.65,3.11
0237yfutl,False,female,False,True,False,50,True,True,fiber optic,True,True,False,True,True,True,month,True,bank transfer automatic,109.65,5405.8,3.65
0238whbiq,False,male,False,True,True,72,True,True,dsl,True,True,True,True,True,True,two year,False,credit card automatic,89.7,6339.3,2.99
0239oxexl,False,female,False,False,False,46,True,True,fiber optic,True,True,False,False,False,False,month,False,mailed check,84.25,3847.6,2.81
0244lgnfy,False,female,False,True,True,72,True,True,dsl,True,True,True,True,True,True,two year,False,bank transfer automatic,92.65,6733.0,3.09
0247sluji,False,male,False,True,True,1,True,False,no,False,False,False,False,False,False,month,False,mailed check,19.7,19.7,0.66
0248ipdfw,False,female,False,False,False,1,True,True,dsl,False,False,False,False,False,False,month,True,electronic check,50.1,50.1,1.67
0248pghbz,False,female,True,False,False,67,True,False,fiber optic,True,True,False,True,True,False,two year,True,bank transfer automatic,92.45,6140.85,3.08
0253zteob,False,female,False,True,True,48,True,True,dsl,False,True,False,True,True,True,two year,False,electronic check,79.65,3870.3,2.65
0254fnmci,False,female,False,False,False,72,True,False,fiber optic,True,True,True,True,True,True,two year,True,electronic check,109.9,7624.2,3.66
0254kcjgt,False,male,False,True,False,52,True,True,dsl,True,True,True,True,False,True,one year,True,credit card automatic,81.4,4354.45,2.71
0254wwrkd,False,female,False,True,True,67,True,False,dsl,False,True,False,False,False,False,one year,False,credit card automatic,50.55,3431.75,1.68
0256lthvj,True,female,False,True,True,28,True,False,fiber optic,False,False,False,False,False,True,month,True,electronic check,81.05,2227.1,2.7
0257kxzgu,False,female,False,True,True,32,True,True,dsl,False,True,True,False,False,False,month,False,bank transfer automatic,62.45,2045.55,2.08
0257zesqc,True,female,True,True,False,27,True,False,fiber optic,True,False,False,False,False,False,month,True,bank transfer automatic,75.2,1929.35,2.51
0258nokbl,False,male,False,False,False,3,True,False,fiber optic,False,True,True,False,False,True,month,False,electronic check,90.4,268.45,3.01
0259gbzsh,True,male,False,False,False,2,True,True,fiber optic,False,False,False,False,True,False,month,True,electronic check,85.65,181.5,2.85
0260zdlgk,True,female,False,False,True,9,True,False,dsl,False,False,True,True,True,True,month,True,mailed check,72.9,651.4,2.43
0263fjtqo,False,male,False,True,True,50,True,True,dsl,True,False,False,True,True,False,two year,True,credit card automatic,70.5,3486.65,2.35
0264cnitk,False,female,False,True,True,71,True,False,no,False,False,False,False,False,False,two year,False,bank transfer automatic,20.1,1389.6,0.67
0265edxbd,True,male,True,True,False,32,True,True,fiber optic,False,False,False,False,False,False,month,True,electronic check,74.9,2303.35,2.5
0265psuae,False,female,False,True,True,16,True,False,fiber optic,True,False,True,False,True,True,month,False,bank transfer automatic,100.7,1522.7,3.36
0266clzkz,False,female,False,True,True,67,True,True,fiber optic,False,False,True,True,True,True,two year,True,bank transfer automatic,105.65,6717.9,3.52
0266gmeao,False,male,False,True,True,72,True,True,fiber optic,True,True,True,True,True,True,two year,True,credit card automatic,114.3,8058.55,3.81
0268qkiwo,True,female,False,False,False,3,True,False,no,False,False,False,False,False,False,month,False,electronic check,19.75,58.85,0.66
0269xfesx,False,male,False,True,True,23,True,True,no,False,False,False,False,False,False,one year,False,mailed check,24.35,538.5,0.81
0270thenm,False,male,False,True,True,72,True,True,dsl,True,True,True,True,False,False,two year,False,bank transfer automatic,69.85,5102.35,2.33
0274jkujr,False,male,False,True,True,7,False,False,dsl,True,True,True,False,True,True,month,False,mailed check,58.85,465.7,1.96
0274vvqoq,False,male,True,True,False,65,True,True,fiber optic,False,True,True,False,True,True,one year,True,bank transfer automatic,103.15,6792.45,3.44
0277bksqp,False,male,False,True,True,8,True,False,dsl,False,False,False,False,True,False,month,True,electronic check,54.4,475.1,1.81
0277orxqs,False,male,False,True,True,66,False,False,dsl,False,False,False,True,True,True,two year,False,bank transfer automatic,50.55,3364.55,1.68
0278yxoog,True,male,False,False,False,5,True,False,no,False,False,False,False,False,False,month,False,mailed check,21.05,113.85,0.7
0280xjgex,True,male,False,False,False,49,True,True,fiber optic,False,True,True,False,True,True,month,True,bank transfer automatic,103.7,5036.3,3.46
0281cntzx,False,male,False,True,False,63,True,False,no,False,False,False,False,False,False,two year,True,bank transfer automatic,19.95,1234.8,0.66
0282nvsjs,False,female,True,True,True,12,False,False,dsl,False,False,False,True,False,False,month,True,mailed check,29.3,355.9,0.98
0285inhln,False,male,False,True,True,27,True,False,dsl,True,True,False,False,False,False,month,True,credit card automatic,54.75,1510.3,1.82
0289ivarm,False,female,False,False,False,35,True,False,dsl,True,True,True,False,False,False,month,False,electronic check,60.55,1982.6,2.02
0292wegch,False,female,False,True,True,54,True,True,dsl,False,True,True,True,True,True,month,True,electronic check,86.2,4524.05,2.87
0295pphdo,True,male,False,False,False,1,True,True,fiber optic,False,False,False,False,True,True,month,True,electronic check,95.45,95.45,3.18
0295qvkpb,False,male,False,False,False,5,True,False,dsl,False,False,True,True,True,False,month,True,credit card automatic,63.95,318.1,2.13
0297rbcsg,False,male,False,False,False,19,True,False,dsl,False,True,False,True,False,True,one year,True,bank transfer automatic,65.35,1231.85,2.18
0298xacet,False,male,False,True,True,52,False,False,dsl,False,True,True,True,True,False,two year,False,mailed check,50.2,2554.0,1.67
0301fidrb,False,female,False,True,True,72,False,False,dsl,True,True,True,True,True,True,two year,True,bank transfer automatic,63.8,4684.3,2.13
0301kobtq,False,male,False,False,False,32,True,False,no,False,False,False,False,False,False,two year,True,bank transfer automatic,20.05,614.45,0.67
0302joivn,True,female,False,True,False,8,True,False,fiber optic,False,True,True,False,True,True,month,False,electronic check,101.15,842.9,3.37
0303uncip,False,male,False,False,False,41,True,True,dsl,False,False,True,False,False,True,one year,False,mailed check,65.0,2531.8,2.17
0303wmmrn,False,male,False,False,False,5,True,False,no,False,False,False,False,False,False,month,True,mailed check,19.25,86.05,0.64
0305sqecb,False,female,False,False,True,11,False,False,dsl,True,False,False,True,False,False,one year,True,mailed check,36.05,402.6,1.2
0306jaele,True,male,False,False,False,5,True,False,fiber optic,False,False,False,True,True,True,month,True,electronic check,96.1,453.4,3.2
0307bcopk,False,female,False,False,False,16,True,False,no,False,False,False,False,False,False,one year,False,mailed check,19.05,326.65,0.64
0308giqjt,False,male,True,False,False,71,True,True,fiber optic,False,True,False,True,True,True,one year,False,bank transfer automatic,105.75,7382.85,3.52
0308ivgok,False,female,False,False,False,11,False,False,dsl,False,True,True,True,False,False,one year,True,credit card automatic,40.4,422.6,1.35
0310mvlet,True,female,False,True,True,61,True,True,fiber optic,False,True,False,False,True,True,month,True,electronic check,99.15,6010.05,3.31
0310sucin,False,female,False,True,False,71,True,False,dsl,True,True,True,True,True,True,one year,True,bank transfer automatic,84.8,6046.1,2.83
0310vqxam,False,male,False,False,False,9,True,False,no,False,False,False,False,False,False,month,False,mailed check,19.85,178.8,0.66
0311qywss,False,female,False,False,False,6,True,False,dsl,True,False,False,False,False,False,month,True,electronic check,49.45,314.6,1.65
0311unpff,True,female,False,False,False,26,True,False,fiber optic,False,False,False,False,True,True,month,True,bank transfer automatic,88.8,2274.35,2.96
0314tkosi,False,female,False,False,False,6,True,False,dsl,True,True,False,False,False,False,month,False,mailed check,55.15,322.9,1.84
0315lvcrk,False,male,False,False,False,11,True,False,fiber optic,False,False,True,False,False,True,month,False,electronic check,84.8,888.75,2.83
0318quuob,True,male,False,True,False,1,True,False,fiber optic,False,False,False,False,True,False,month,True,electronic check,80.55,80.55,2.69
0318zopws,False,female,False,True,False,49,True,False,no,False,False,False,False,False,False,two year,True,bank transfer automatic,20.15,973.35,0.67
0319qztco,False,female,False,True,True,3,True,False,dsl,False,True,False,False,True,False,month,True,credit card automatic,58.7,168.6,1.96
0320dwvtu,False,female,False,False,False,53,True,False,fiber optic,True,True,True,True,False,True,two year,False,mailed check,99.5,5424.25,3.32
0320jdnqg,True,male,False,True,True,23,True,False,fiber optic,True,False,False,True,True,True,month,True,electronic check,99.85,2331.3,3.33
0322chqru,True,male,False,False,False,2,True,False,dsl,False,False,False,False,False,False,month,False,electronic check,45.35,89.5,1.51
0322yinqp,True,male,False,False,False,1,True,False,dsl,True,False,False,False,False,False,month,True,mailed check,48.55,48.55,1.62
0323xwwtn,False,male,False,False,True,3,True,True,no,False,False,False,False,False,False,two year,True,mailed check,26.4,121.25,0.88
0324brpcj,True,female,True,True,False,68,True,True,fiber optic,False,True,False,False,True,True,month,True,electronic check,100.2,6851.65,3.34
0325xbfac,True,male,False,False,False,8,True,False,fiber optic,False,False,True,False,True,True,month,True,electronic check,94.7,740.3,3.16
0326vdyxe,False,female,False,True,False,70,True,True,fiber optic,False,False,True,False,True,True,one year,True,electronic check,97.65,6982.5,3.26
